step,epoch,train_loss,train_perplexity,mode1_loss,mode1_ppl,mode2_loss,mode2_ppl,mode3_loss,mode3_ppl,mode4_loss,mode4_ppl,mode5_loss,mode5_ppl,learning_rate,sigmagpt_mode,ordering_mode
420,1,7.195351034402847,1333.2183837890625,,,,,,,,,,,0.00014450000000000007,fair,random_scramble
430,1,7.176160117983818,1307.8768310546875,,,,,,,,,,,0.0001467500000000001,fair,random_scramble
440,1,7.168888795375824,1298.4007568359375,,,,,,,,,,,0.00014900000000000015,fair,random_scramble
450,1,7.159814509749412,1286.6719970703125,,,,,,,,,,,0.0001512500000000001,fair,random_scramble
460,1,7.166537994146347,1295.35205078125,,,,,,,,,,,0.00015350000000000015,fair,random_scramble
470,1,7.141841429471969,1263.7532958984375,,,,,,,,,,,0.00015575000000000018,fair,random_scramble
480,1,7.141609156131745,1263.4599609375,,,,,,,,,,,0.0001580000000000002,fair,random_scramble
490,1,7.156041052937508,1281.8262939453125,,,,,,,,,,,0.00016025000000000024,fair,random_scramble
500,1,7.130377653241157,1249.348876953125,,,,,,,,,,,0.0001625000000000003,fair,random_scramble
500,1,,,7.181899690628052,1315.4047482879284,7.184582020428165,1318.9378339756363,7.098610093415323,1210.2837235965726,7.1882194707478915,1323.7441408734412,7.112420950213,1227.1147366152315,0.0001625000000000003,fair,random_scramble
